Name,Languages,Translated (Words),Target Words,Approved (Words),Votes Made
holguitar ™ (Wolfcity) (holguitar65),German,128,128,0,1
Tong Wu (wutong07163),Chinese Simplified,125,161,0,0
Davide (davide1293),Italian,125,141,0,1
negset,Japanese,123,460,0,0
George Eduardo de Souza Santos (GeorgeEduardo),Portuguese,122,135,0,0
Manos Kav (manoskav),Greek,120,127,0,0
sanodroid,Italian,118,111,0,0
André Schossler (xos),Portuguese,113,136,0,0
Lukáš Witpeerd (lukasekczk),Czech,112,99,0,8
Joseph “C4Vi” Caviglia (C4Vi),Italian,109,117,0,0
Mr. Unknown (luai20022),Arabic,108,85,0,0
mb1te,Russian,98,84,0,0
chraist,Swedish,86,77,0,0
Michal Václav Císařovský (mikicis),Czech,86,76,0,1
Rizky Kharisma (ngengs),Indonesian,84,76,0,5
lucas tadra de oliveira (lucastadraoliveira),Portuguese,84,95,0,0
feras alotibi (aileron511),Arabic,82,65,0,0
周羿吉 (zhouyiji),Chinese Simplified,82,139,0,24
عبدالله المالكي (aboooode5050),Arabic,80,36,0,0
iconteral,Chinese Simplified,79,115,0,0
Hamaz Taffakh (hamzio7.dev),Arabic,77,81,0,0
adityaakadynamo,Hindi,77,122,0,0
XavNotFound,French,76,95,0,0
İsa Samet Türkmen (isasamet34),Turkish,75,58,0,0
neoFelhz,Chinese Simplified,75,124,0,0
redlulz,German,73,67,0,4
Furkan Karcıoğlu (krc440002),Turkish,73,52,0,0
Jens Urban (urbanj88),German,73,72,0,0
Federico _ (Federico_Antoniazzi),Italian,71,84,0,0
David Boca (davidboca),Croatian,71,70,0,0
mr_solutionist,Bengali,70,126,0,0
Felipe Silva (felipesilva2655),Portuguese,70,75,0,0
Tuan Nguyen Minh (tuanmotsach1990),Vietnamese,70,106,0,0
Mazlum Çatma (mazlum298),Turkish,70,53,0,95
那年明月 (vanson_pc),Chinese Simplified,68,125,0,0
Александр Сафонов (safa84zlo),Russian,68,47,0,0
MongWu-NeiTherHwoGer-Long,Chinese Traditional,68,119,0,0
fiepi,Chinese Simplified,68,113,0,1
PandaJ (P4ndaJ),Italian,67,69,0,0
Diego Alvarez (diegosky1405),Spanish,66,73,0,0
Cristiano Terlizzi (Terlo),Italian,65,75,0,6
Ariver,Chinese Simplified,61,116,0,0
MishuMS,Hebrew,60,57,0,0
Sefa Eyeoglu (sefa6727),German,57,30,0,0
dgateles,Portuguese,54,62,0,0
Ibai Cruz (ibaiitugarpe),Spanish,54,64,0,0
ABHISHEK THAKUR (Abhishek_Thakur),Bengali; Hindi,54,111,0,0
Amedeo Caramazza (Amedeo),Italian,53,52,0,1
Hirza_Tango,Afrikaans,52,47,0,0
László Szécsényi (szecslasz),Hungarian,52,43,0,0
Harry Cheng (chengyuhui),Chinese Simplified,52,103,0,0
4mil Z (4milzg4ming),Danish,52,56,0,0
Random Mix (andreewjoob),Spanish,52,61,0,0
Pet's Suradech (suradech---),Thai,51,51,0,0
rirozizo,Arabic,50,38,0,0
筱穆 (xm12578),Chinese Simplified,49,77,0,0
jokeroller,Chinese Simplified,49,68,0,18
Ali Kömesöğütlü (Mobile46) (byzlo685),Turkish,48,48,0,0
Christian (Blackbird1997),German,48,39,0,0
bichoubilal20,Arabic,47,43,0,0
Rom (RomXDA),French,47,64,0,3
Eduardo Olivares (eduzerokm),Spanish,47,48,0,0
Bettehem,Finnish,47,32,0,0
sean22922,Chinese Traditional,47,67,0,0
Tugay Acar (tugay12),Turkish,46,37,0,20
Kortxero,French,44,54,0,1
сергей потанахин (serikriga1973),Russian,44,39,0,0
Sanchith Hegde (SanchithHegde),Kannada,44,67,0,6
Harsh V23 (yoyoharshking),Hindi,44,73,0,0
Mateusz “Matieusz” Sołtys (thetorchx),Polish,42,31,0,0
Israel Xabregas (israelmtc),Portuguese,42,40,0,3
FreakyFP,German,42,36,0,0
panming,Chinese Simplified,41,62,0,41
FedePovero,Italian,40,40,0,0
Frank J Marval A (symbianvenezuela),Spanish,37,41,0,0
nophyan,Indonesian,37,36,0,0
Loris Dordoni (lorisdordoni),Italian,35,35,0,2
Julien Quintal (julzquintal),French,35,44,0,0
闵晓川 (WanMingXiaoChuan),Chinese Simplified,35,47,0,9
